iter	Passed	Remaining
1236	51479	31753
1237	51524	31713
1238	51565	31672
1239	51608	31630
1240	51649	31589
1241	51688	31545
1242	51735	31507
1243	51775	31464
1244	51814	31421
1245	51855	31379
1246	51895	31336
1247	51966	31312
1248	52022	31280
1249	52089	31253
1250	52160	31229
1251	52208	31191
1252	52253	31151
1253	52293	31109
1254	52334	31066
1255	52376	31025
1256	52419	30984
1257	52465	30945
1258	52504	30902
1259	52548	30861
1260	52589	30819
1261	52631	30777
1262	52673	30736
1263	52715	30694
1264	52769	30660
1265	52810	30618
1266	52852	30576
1267	52894	30535
1268	52938	30495
1269	52983	30454
1270	53022	30411
1271	53060	30368
1272	53100	30325
1273	53142	30283
1274	53181	30240
1275	53220	30197
1276	53260	30154
1277	53299	30111
1278	53346	30072
1279	53386	30029
1280	53426	29987
1281	53466	29944
1282	53506	29901
1283	53548	29860
1284	53591	29819
1285	53632	29777
1286	53672	29734
1287	53712	29691
1288	53751	29648
1289	53792	29606
1290	53831	29563
1291	53885	29528
1292	53926	29486
1293	53964	29442
1294	54005	29400
1295	54045	29357
1296	54084	29314
1297	54124	29272
1298	54164	29229
1299	54206	29187
1300	54244	29144
1301	54284	29101
1302	54324	29058
1303	54363	29016
1304	54403	28973
1305	54448	28933
1306	54488	28890
1307	54527	28847
1308	54566	28804
1309	54614	28766
1310	54662	28728
1311	54705	28687
1312	54747	28645
1313	54790	28604
1314	54832	28562
1315	54874	28521
1316	54916	28479
1317	54956	28437
1318	54998	28395
1319	55039	28353
1320	55079	28311
1321	55126	28272
1322	55169	28230
1323	55208	28187
1324	55248	28145
1325	55287	28102
1326	55327	28059
1327	55367	28017
1328	55407	27974
1329	55447	27932
1330	55487	27889
1331	55527	27847
1332	55566	27804
1333	55607	27761
1334	55646	27719
1335	55688	27677
1336	55732	27636
1337	55774	27595
1338	55816	27554
1339	55855	27511
1340	55894	27467
1341	55936	27426
1342	55978	27384
1343	56017	27341
1344	56068	27304
1345	56107	27261
1346	56147	27219
1347	56187	27176
1348	56225	27133
1349	56267	27091
1350	56315	27053
1351	56368	27016
1352	56408	26974
1353	56447	26931
